,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
591,9149467357,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12325520000005 16.981475599999964),MM
592,9149467358,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12327130000004 16.981513399999965),MM
593,9149467359,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12311170000004 16.981665799999966),MM
604,9149467378,node,MM,combustion,gas,generator,9.0,gas_turbine,NULL,NULL,NULL,POINT (96.08953450000001 16.90095819999996),MM
605,9149467379,node,MM,combustion,gas,generator,24.0,gas_turbine,NULL,NULL,NULL,POINT (96.0890865 16.90115069999996),MM
606,9149467380,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (96.0890731 16.90097359999996),MM
607,9149467381,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (96.08909190000001 16.90080929999996),MM
608,9149467382,node,MM,combustion,gas,generator,120.0,gas_turbine,NULL,NULL,NULL,POINT (96.08884240000002 16.90035),MM
609,9149467383,node,MM,combustion,gas,generator,120.0,gas_turbine,NULL,NULL,NULL,POINT (96.08863590000001 16.90032939999996),MM
610,9149467435,node,MM,combustion,gas,generator,35.0,steam_turbine,NULL,NULL,NULL,POINT (96.22654969999996 16.812218299999955),MM
611,9149467436,node,MM,combustion,gas,generator,19.0,gas_turbine,NULL,NULL,NULL,POINT (96.22619569999996 16.812079599999954),MM
612,9149467437,node,MM,combustion,gas,generator,19.0,gas_turbine,NULL,NULL,NULL,POINT (96.225965 16.811971799999956),MM
613,9149467438,node,MM,combustion,gas,generator,19.0,gas_turbine,NULL,NULL,NULL,POINT (96.22569139999996 16.811830599999954),MM
